2026-01-04T21:20:55.096+0100 [INFO]  Terraform version: 1.14.3
2026-01-04T21:20:55.097+0100 [INFO]  Go runtime version: go1.25.5
2026-01-04T21:20:55.097+0100 [INFO]  CLI args: []string{"terraform", "plan"}
2026-01-04T21:20:55.098+0100 [INFO]  CLI command args: []string{"plan"}
2026-01-04T21:20:55.124+0100 [INFO]  backend/local: starting Plan operation
2026-01-04T21:20:55.126+0100 [INFO]  provider: configuring client automatic mTLS
2026-01-04T21:20:55.157+0100 [INFO]  provider.terraform-provider-local_v2.6.1_x5: configuring server automatic mTLS: timestamp="2026-01-04T21:20:55.157+0100"
2026-01-04T21:20:55.209+0100 [INFO]  provider: plugin process exited: plugin=.terraform/providers/registry.terraform.io/hashicorp/local/2.6.1/linux_amd64/terraform-provider-local_v2.6.1_x5 id=22968
2026-01-04T21:20:55.211+0100 [INFO]  provider: configuring client automatic mTLS
2026-01-04T21:20:55.228+0100 [INFO]  provider.terraform-provider-local_v2.6.1_x5: configuring server automatic mTLS: timestamp="2026-01-04T21:20:55.227+0100"
2026-01-04T21:20:55.272+0100 [INFO]  provider: plugin process exited: plugin=.terraform/providers/registry.terraform.io/hashicorp/local/2.6.1/linux_amd64/terraform-provider-local_v2.6.1_x5 id=22979
2026-01-04T21:20:55.273+0100 [INFO]  backend/local: plan calling Plan
2026-01-04T21:20:55.274+0100 [INFO]  provider: configuring client automatic mTLS
2026-01-04T21:20:55.291+0100 [INFO]  provider.terraform-provider-local_v2.6.1_x5: configuring server automatic mTLS: timestamp="2026-01-04T21:20:55.291+0100"
2026-01-04T21:20:55.357+0100 [INFO]  provider: plugin process exited: plugin=.terraform/providers/registry.terraform.io/hashicorp/local/2.6.1/linux_amd64/terraform-provider-local_v2.6.1_x5 id=22988
2026-01-04T21:20:55.359+0100 [INFO]  backend/local: plan operation completed
